Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","515","Apples","2016","2016","index","73.05","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","515","Apples","2017","2017","index","72.33","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","515","Apples","2018","2018","index","79.69","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","515","Apples","2019","2019","index","83.15","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","515","Apples","2020","2020","index","82.1","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","526","Apricots","2016","2016","index","99.37","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","526","Apricots","2017","2017","index","98.5","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","526","Apricots","2018","2018","index","97.04","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","526","Apricots","2019","2019","index","96.46","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","526","Apricots","2020","2020","index","95.89","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","366","Artichokes","2016","2016","index","100.58","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","366","Artichokes","2017","2017","index","101.21","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","366","Artichokes","2018","2018","index","98.67","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","366","Artichokes","2019","2019","index","98.26","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","366","Artichokes","2020","2020","index","97.53","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","367","Asparagus","2016","2016","index","98.4","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","367","Asparagus","2017","2017","index","98.03","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","367","Asparagus","2018","2018","index","97.61","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","367","Asparagus","2019","2019","index","96.16","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","367","Asparagus","2020","2020","index","95.46","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","572","Avocados","2016","2016","index","98.87","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","572","Avocados","2017","2017","index","100.05","Fc","Calculated data"
